gentime,NeAnc,td,lambda,maxn,sampn,data,model,scheme,Nch,Nhh,Th,lnLh,AICh
g1,n10e4,td100,l99,n500,n200,rad10k,bot,t0,8129.96693,10,13161.38818,-10170.87195,20347.74391
g1,n10e4,td100,l99,n500,n200,rad10k,bot,t0t120,6356.950675,10,9883.436495,-16552.48902,33110.97803
g1,n10e4,td100,l99,n500,n200,rad10k,bot,all,7467.869715,979.5537016,8623.955988,-27191.22579,54388.45158
g1,n10e4,td100,l99,n500,n200,rad10k,bot,t0,8188.281306,51.02174506,13119.88935,-10132.62637,20271.25275
g1,n10e4,td100,l99,n500,n200,rad10k,bot,t0t120,6774.548091,10,10415.8054,-16386.64364,32779.28727
g1,n10e4,td100,l99,n500,n200,rad10k,bot,all,7535.077591,29.25037268,10703.64033,-27200.8765,54407.753
g1,n10e4,td100,l99,n500,n200,rad10k,bot,t0,8469.329155,10,12254.99879,-10116.53746,20239.07492
g1,n10e4,td100,l99,n500,n200,rad10k,bot,t0t120,6222.916175,10,9165.093657,-16409.00899,32824.01798
g1,n10e4,td100,l99,n500,n200,rad10k,bot,all,7211.49752,10,9851.571475,-27036.37115,54078.7423
g1,n10e4,td100,l99,n500,n200,rad10k,bot,t0,8183.108692,10,13432.45931,-10200.38128,20406.76256
g1,n10e4,td100,l99,n500,n200,rad10k,bot,t0t120,6707.783996,15.18576449,10813.61316,-16434.6088,32875.2176
g1,n10e4,td100,l99,n500,n200,rad10k,bot,all,7289.687169,10,11125.26351,-27113.86517,54233.73033
g1,n10e4,td100,l99,n500,n200,rad10k,bot,t0,8200.411544,10,13856.1606,-10260.73718,20527.47435
g1,n10e4,td100,l99,n500,n200,rad10k,bot,t0t120,6093.413599,10,10407.98137,-16688.76079,33383.52157
g1,n10e4,td100,l99,n500,n200,rad10k,bot,all,6715.157665,10,10839.4538,-27640.5677,55287.1354
g1,n10e4,td100,l99,n500,n200,rad50k,bot,t0,8561.705106,10,13279.60862,-52210.05115,104426.1023
g1,n10e4,td100,l99,n500,n200,rad50k,bot,t0t120,6236.960182,61.21046785,9621.625579,-84654.77704,169315.5541
g1,n10e4,td100,l99,n500,n200,rad50k,bot,all,7554.812817,51.25836659,10733.12753,-139816.609,279639.218
g1,n10e4,td100,l99,n500,n200,rad50k,bot,t0,8565.666682,10,12615.03026,-51427.60723,102861.2145
g1,n10e4,td100,l99,n500,n200,rad50k,bot,t0t120,6413.308448,10,9419.928339,-83415.76976,166837.5395
g1,n10e4,td100,l99,n500,n200,rad50k,bot,all,7387.219226,42.06263132,10060.50169,-137199.5871,274405.1741
g1,n10e4,td100,l99,n500,n200,rad50k,bot,t0,8510.135566,10,13015.97237,-51655.00673,103316.0135
g1,n10e4,td100,l99,n500,n200,rad50k,bot,t0t120,6747.112521,10,10063.39988,-83752.5853,167511.1706
g1,n10e4,td100,l99,n500,n200,rad50k,bot,all,7567.911357,10,10644.15067,-137882.5279,275771.0558
g1,n10e4,td100,l99,n500,n200,rad50k,bot,t0,8442.996014,10,12562.68386,-50849.6192,101705.2384
g1,n10e4,td100,l99,n500,n200,rad50k,bot,t0t120,6621.931008,10,9712.011767,-82316.26083,164638.5217
g1,n10e4,td100,l99,n500,n200,rad50k,bot,all,7800.276333,10,10456.54538,-135974.8514,271955.7028
g1,n10e4,td100,l99,n500,n200,rad50k,bot,t0,8296.466883,10,13138.54031,-51054.99096,102115.9819
g1,n10e4,td100,l99,n500,n200,rad50k,bot,t0t120,6722.104876,10,10407.52152,-82767.59275,165541.1855
g1,n10e4,td100,l99,n500,n200,rad50k,bot,all,7544.211047,11.33839338,10968.58843,-136785.6045,273577.209
