gentime,NeAnc,td,lambda,sampn,data,Model,scheme,Neh,Nec,lnL,AIC_cons,Neh_change,Nec_change,T,lnL_change,AIC_change,delta
g3,n10e4,td100,l99,n50,rad10k,Constant,all,9794.631011,9794.631011,-25709.98128,51421.96256,9793.262035,10238.31519,46.88301663,-25709.97901,51425.95802,-3.99546
g3,n10e4,td100,l99,n50,rad10k,Constant,all,9854.187751,9854.187751,-26197.97535,52397.9507,9906.784095,1469.114937,115.994721,-26194.82208,52395.64415,2.30655
g3,n10e4,td100,l99,n50,rad10k,Constant,all,9947.136503,9947.136503,-26512.0554,53026.1108,9968.995826,6902.852237,28.66702849,-26511.26343,53028.52686,-2.41606
g3,n10e4,td100,l99,n50,rad50k,Constant,all,9714.120876,9714.120876,-128241.6531,256485.3063,9731.845501,6195.144759,47.0627467,-128239.6549,256485.3098,-0.0035
g3,n10e4,td100,l99,n50,rad50k,Constant,all,9796.304529,9796.304529,-129091.4019,258184.8038,9818.36231,5774.62371,46.84098688,-129088.4447,258182.8893,1.9145
g3,n10e4,td100,l99,n50,rad50k,Constant,all,9965.703553,9965.703553,-130084.1805,260170.361,9969.867445,8581.99921,47.09513334,-130084.0682,260174.1364,-3.7754
g3,n10e4,td100,l99,n50,rad50k,Constant,all,9841.447055,9841.447055,-128831.433,257664.8659,9872.40681,2407.298886,109.03125,-128825.0069,257656.0138,8.8521
g3,n10e4,td100,l99,n50,rad50k,Constant,all,9953.150693,9953.150693,-130419.2381,260840.4761,9985.800592,6264.167867,28.82979938,-130411.6337,260829.2675,11.2086
g3,n10e4,td100,l99,n50,wgs,Constant,all,9949.397238,9949.397238,-13146143.91,26292289.82,9963.539467,7621.664833,29.22028118,-13146005.2,26292016.4,273.42
g3,n10e4,td100,l99,n50,wgs,Constant,all,9915.661703,9915.661703,-13121411.36,26242824.72,9935.237648,6969.652813,29.29324163,-13121098.6,26242203.2,621.52
g3,n10e4,td100,l99,n50,wgs,Constant,all,9992.021696,9992.021696,-13201668.3,26403338.61,10017.33128,2701.240679,118.07492,-13201231.32,26402468.63,869.98
g3,n10e4,td100,l99,n50,wgs,Constant,all,9996.262339,9996.262339,-13185170.7,26370343.41,10018.2662,3098.245022,119.9787289,-13184863.36,26369732.73,610.68
